"city","season_name","sunny_days","snowy_days","rainy_days","cloudy_days","stormy_days"
Vancouver,Autumn,3,0,50,31,4
Reykjavik,Autumn,10,23,25,34,4
Berlin,Autumn,1,10,50,25,0
Biarritz,Autumn,17,0,53,20,1
Auckland,Autumn,3,0,64,19,0
Auckland,Spring,3,0,66,23,0
Vancouver,Spring,20,0,41,25,0
Berlin,Spring,10,0,39,38,0
Biarritz,Spring,9,0,57,21,2
Reykjavik,Spring,4,4,51,25,0
Berlin,Summer,15,0,37,33,2
Reykjavik,Summer,11,0,36,40,0
Auckland,Summer,10,0,57,24,0
Vancouver,Summer,13,0,25,53,1
Biarritz,Summer,19,0,40,32,2
Reykjavik,Winter,12,40,20,18,2
Berlin,Winter,7,10,48,22,0
Biarritz,Winter,6,1,58,26,3
Vancouver,Winter,9,12,57,13,3
Auckland,Winter,5,0,52,31,1
