"city","country","month_of_year","min_temp_c","max_temp_c","avg_temp_c"
Berlin,Germany,April    ,1.7,27.1,10.75
Reykjavik,Iceland,April    ,-6.3,10.8,2.98
Auckland,New Zealand,April    ,9.4,22.2,17.48
Vancouver,Canada,April    ,3.1,20.2,8.33
Biarritz,France,April    ,6.7,24.6,13.74
Berlin,Germany,August   ,11.7,31.7,20.28
Auckland,New Zealand,August   ,5.6,16.6,10.49
Vancouver,Canada,August   ,12.9,28.6,18.55
Biarritz,France,August   ,12.7,34.8,20.72
Reykjavik,Iceland,August   ,6.3,16.9,11.85
Vancouver,Canada,December ,1.3,10.5,6.74
Berlin,Germany,December ,-6.3,11.5,3.90
Auckland,New Zealand,December ,11.0,26.5,18.27
Biarritz,France,December ,4.8,17.1,10.44
Reykjavik,Iceland,December ,-8.7,7.2,-1.17
Biarritz,France,February ,5.2,19.8,10.70
Berlin,Germany,February ,1.5,14.7,6.95
Reykjavik,Iceland,February ,-11.1,5.8,-1.34
Vancouver,Canada,February ,1.2,9.9,5.87
Auckland,New Zealand,February ,12.7,28.0,19.55
Biarritz,France,January  ,-0.4,18.4,9.56
Berlin,Germany,January  ,-7.3,11.3,1.80
Vancouver,Canada,January  ,-10.3,11.7,4.11
Auckland,New Zealand,January  ,12.5,27.4,20.05
Reykjavik,Iceland,January  ,-13.0,7.0,0.00
Reykjavik,Iceland,July     ,5.3,18.9,11.41
Biarritz,France,July     ,15.9,32.9,20.34
Berlin,Germany,July     ,12.0,35.2,20.50
Vancouver,Canada,July     ,12.5,28.7,18.62
Auckland,New Zealand,July     ,7.0,16.4,12.13
Vancouver,Canada,June     ,9.3,25.3,15.73
Reykjavik,Iceland,June     ,4.9,14.6,9.54
Biarritz,France,June     ,14.5,28.2,20.00
Berlin,Germany,June     ,7.5,31.0,19.60
Auckland,New Zealand,June     ,7.8,18.0,12.70
Reykjavik,Iceland,March    ,-7.5,7.5,0.97
Auckland,New Zealand,March    ,9.6,24.0,17.09
Biarritz,France,March    ,4.8,19.3,11.25
Vancouver,Canada,March    ,-1.2,12.8,6.59
Berlin,Germany,March    ,-0.1,20.8,8.29
Berlin,Germany,May      ,4.2,26.6,13.80
Auckland,New Zealand,May      ,9.1,22.1,15.40
Vancouver,Canada,May      ,8.0,26.9,14.77
Biarritz,France,May      ,8.8,27.0,15.40
Reykjavik,Iceland,May      ,-0.8,11.8,6.77
Berlin,Germany,November ,-4.9,14.9,6.13
Auckland,New Zealand,November ,10.1,23.1,15.51
Vancouver,Canada,November ,1.6,12.1,7.10
Biarritz,France,November ,3.3,20.0,12.52
Reykjavik,Iceland,November ,-1.2,8.5,2.86
Berlin,Germany,October  ,4.8,27.0,12.65
Auckland,New Zealand,October  ,6.3,21.8,14.27
Biarritz,France,October  ,10.4,30.6,18.09
Reykjavik,Iceland,October  ,-2.2,10.8,5.23
Vancouver,Canada,October  ,2.8,24.7,11.05
Auckland,New Zealand,September,7.7,20.7,13.08
Reykjavik,Iceland,September,4.1,12.7,8.36
Berlin,Germany,September,10.7,31.4,20.21
Biarritz,France,September,12.6,30.9,20.69
Vancouver,Canada,September,7.8,24.2,14.48
