"city","season_name","min_temp_c","max_temp_c","avg_temp_c"
Vancouver,Autumn,1.3,24.7,8.31
Reykjavik,Autumn,-8.7,10.8,2.30
Berlin,Autumn,-6.3,27.0,7.57
Biarritz,Autumn,3.3,30.6,13.69
Auckland,Autumn,7.8,22.2,15.20
Auckland,Spring,6.3,26.5,16.02
Vancouver,Spring,3.1,26.9,12.96
Berlin,Spring,1.7,31.0,14.71
Biarritz,Spring,6.7,28.2,16.37
Reykjavik,Spring,-6.3,14.6,6.44
Berlin,Summer,10.7,35.2,20.33
Reykjavik,Summer,4.1,18.9,10.56
Auckland,Summer,9.6,28.0,18.88
Vancouver,Summer,7.8,28.7,17.25
Biarritz,Summer,12.6,34.8,20.58
Reykjavik,Winter,-13.0,7.5,-0.10
Berlin,Winter,-7.3,20.8,5.65
Biarritz,Winter,-0.4,19.8,10.50
Vancouver,Winter,-10.3,12.8,5.51
Auckland,Winter,5.6,20.7,11.88
